segundo,operaciones,errores
0,13,0
1,145,0
2,309,0
3,361,0
4,375,0
5,384,0
6,385,0
7,393,0
8,433,0
9,465,0
10,474,0
11,483,0
12,455,0
13,471,0
14,445,0
15,460,0
16,480,0
17,484,0
18,497,0
19,475,0
20,474,0
21,468,0
22,480,0
23,472,0
24,471,0
25,471,0
26,473,0
27,473,0
28,478,0
29,403,0
30,8,0
31,0,0
32,109,0
33,470,0
34,473,0
35,476,0
36,467,0
37,480,0
38,492,0
39,478,0
40,489,0
41,470,0
42,493,0
43,491,0
44,491,0
45,478,0
46,488,0
47,484,0
48,494,0
49,477,0
50,492,0
51,483,0
52,492,0
53,482,0
54,468,0
55,492,0
56,477,0
57,477,0
58,487,0
59,480,0
